action 1: (3, 4) build type 1
actionProfitValue = 0.043660, totalProfit = 364.353895 => action 1648: (6, 4) upgrade
actionProfitValue = 0.043614, totalProfit = 364.397554 => action 1649: (3, 4) upgrade
actionProfitValue = 0.043583, totalProfit = 364.441169 => action 1650: (6, 5) upgrade
actionProfitValue = 0.043564, totalProfit = 364.484752 => action 1651: (5, 5) upgrade
actionProfitValue = 0.043515, totalProfit = 364.528316 => action 1652: (1, 0) upgrade
actionProfitValue = 0.043450, totalProfit = 364.571832 => action 1653: (5, 1) upgrade
actionProfitValue = 0.043225, totalProfit = 364.615281 => action 1654: (5, 3) upgrade
actionProfitValue = 0.043209, totalProfit = 364.658506 => action 1655: (5, 6) upgrade
actionProfitValue = 0.043184, totalProfit = 364.701715 => action 1656: (3, 5) upgrade
actionProfitValue = 0.043179, totalProfit = 364.744899 => action 1657: (3, 3) upgrade
actionProfitValue = 0.043124, totalProfit = 364.788078 => action 1658: (7, 3) upgrade
actionProfitValue = 0.043061, totalProfit = 364.831202 => action 1659: (1, 4) upgrade
actionProfitValue = 0.043043, totalProfit = 364.874263 => action 1660: (3, 2) upgrade
actionProfitValue = 0.043029, totalProfit = 364.917305 => action 1661: (1, 5) upgrade
actionProfitValue = 0.043027, totalProfit = 364.960334 => action 1662: (1, 2) upgrade
actionProfitValue = 0.042998, totalProfit = 365.003361 => action 1663: (7, 1) upgrade
actionProfitValue = 0.042864, totalProfit = 365.046359 => action 1664: (1, 1) upgrade
actionProfitValue = 0.042815, totalProfit = 365.089223 => action 1665: (3, 1) upgrade
actionProfitValue = 0.042810, totalProfit = 365.132038 => action 1666: (6, 2) upgrade
actionProfitValue = 0.042740, totalProfit = 365.174848 => action 1667: (7, 4) upgrade
actionProfitValue = 0.042730, totalProfit = 365.217587 => action 1668: (3, 7) upgrade
actionProfitValue = 0.042645, totalProfit = 365.260317 => action 1669: (1, 6) upgrade
actionProfitValue = 0.042442, totalProfit = 365.302962 => action 1670: (3, 6) upgrade
actionProfitValue = 0.042415, totalProfit = 365.345404 => action 1671: (6, 3) upgrade
actionProfitValue = 0.042256, totalProfit = 365.387819 => action 1672: (5, 4) upgrade
actionProfitValue = 0.042080, totalProfit = 365.430075 => action 1673: (7, 2) upgrade
actionProfitValue = 0.042075, totalProfit = 365.472155 => action 1674: (1, 3) upgrade
actionProfitValue = 0.041989, totalProfit = 365.514230 => action 1675: (6, 1) upgrade
actionProfitValue = 0.041977, totalProfit = 365.556219 => action 1676: (7, 0) upgrade
actionProfitValue = 0.041966, totalProfit = 365.598196 => action 1677: (5, 2) upgrade
actionProfitValue = 0.041966, totalProfit = 365.640162 => action 1678: (3, 4) upgrade
actionProfitValue = 0.041730, totalProfit = 365.682128 => action 1679: (6, 0) upgrade
actionProfitValue = 0.041644, totalProfit = 365.723858 => action 1680: (7, 6) upgrade
actionProfitValue = 0.041615, totalProfit = 365.765502 => action 1681: (5, 0) upgrade
actionProfitValue = 0.041611, totalProfit = 365.807117 => action 1682: (7, 5) upgrade
actionProfitValue = 0.041538, totalProfit = 365.848728 => action 1683: (3, 3) upgrade
actionProfitValue = 0.041381, totalProfit = 365.890265 => action 1684: (5, 3) upgrade
actionProfitValue = 0.041372, totalProfit = 365.931647 => action 1685: (1, 4) upgrade
actionProfitValue = 0.041304, totalProfit = 365.973019 => action 1686: (3, 2) upgrade
actionProfitValue = 0.041290, totalProfit = 366.014322 => action 1687: (1, 5) upgrade
actionProfitValue = 0.041288, totalProfit = 366.055613 => action 1688: (6, 6) upgrade
actionProfitValue = 0.041208, totalProfit = 366.096901 => action 1689: (6, 4) upgrade
actionProfitValue = 0.041165, totalProfit = 366.138109 => action 1690: (6, 5) upgrade
actionProfitValue = 0.041118, totalProfit = 366.179275 => action 1691: (1, 1) upgrade
actionProfitValue = 0.041085, totalProfit = 366.220393 => action 1692: (3, 1) upgrade
actionProfitValue = 0.041080, totalProfit = 366.261478 => action 1693: (5, 5) upgrade
actionProfitValue = 0.041072, totalProfit = 366.302558 => action 1694: (1, 0) upgrade
actionProfitValue = 0.040963, totalProfit = 366.343630 => action 1695: (5, 1) upgrade
actionProfitValue = 0.040798, totalProfit = 366.384592 => action 1696: (5, 6) upgrade
actionProfitValue = 0.040759, totalProfit = 366.425390 => action 1697: (3, 5) upgrade
actionProfitValue = 0.040707, totalProfit = 366.466149 => action 1698: (3, 6) upgrade
actionProfitValue = 0.040701, totalProfit = 366.506856 => action 1699: (7, 3) upgrade
actionProfitValue = 0.040643, totalProfit = 366.547557 => action 1700: (1, 2) upgrade
actionProfitValue = 0.040537, totalProfit = 366.588200 => action 1701: (6, 2) upgrade
actionProfitValue = 0.040340, totalProfit = 366.628737 => action 1702: (7, 4) upgrade
actionProfitValue = 0.040331, totalProfit = 366.669077 => action 1703: (3, 7) upgrade
actionProfitValue = 0.040204, totalProfit = 366.709408 => action 1704: (1, 3) upgrade
actionProfitValue = 0.040204, totalProfit = 366.749612 => action 1705: (7, 1) upgrade
actionProfitValue = 0.040046, totalProfit = 366.789816 => action 1706: (1, 6) upgrade
actionProfitValue = 0.040013, totalProfit = 366.829862 => action 1707: (3, 4) upgrade
actionProfitValue = 0.039956, totalProfit = 366.869874 => action 1708: (6, 3) upgrade
actionProfitValue = 0.039883, totalProfit = 366.909830 => action 1709: (5, 4) upgrade
actionProfitValue = 0.039717, totalProfit = 366.949714 => action 1710: (7, 2) upgrade
actionProfitValue = 0.039713, totalProfit = 366.989431 => action 1711: (3, 3) upgrade
actionProfitValue = 0.039710, totalProfit = 367.029143 => action 1712: (1, 4) upgrade
actionProfitValue = 0.039635, totalProfit = 367.068853 => action 1713: (3, 2) upgrade
actionProfitValue = 0.039622, totalProfit = 367.108488 => action 1714: (1, 5) upgrade
actionProfitValue = 0.039620, totalProfit = 367.148110 => action 1715: (5, 3) upgrade
actionProfitValue = 0.039613, totalProfit = 367.187730 => action 1716: (7, 0) upgrade
actionProfitValue = 0.039610, totalProfit = 367.227343 => action 1717: (5, 2) upgrade
actionProfitValue = 0.039609, totalProfit = 367.266952 => action 1718: (1, 1) upgrade
actionProfitValue = 0.039425, totalProfit = 367.306562 => action 1719: (3, 1) upgrade
actionProfitValue = 0.039421, totalProfit = 367.345986 => action 1720: (6, 0) upgrade
actionProfitValue = 0.039306, totalProfit = 367.385407 => action 1721: (7, 6) upgrade
actionProfitValue = 0.039278, totalProfit = 367.424713 => action 1722: (5, 0) upgrade
actionProfitValue = 0.039274, totalProfit = 367.463991 => action 1723: (6, 1) upgrade
actionProfitValue = 0.039217, totalProfit = 367.503265 => action 1724: (7, 5) upgrade
actionProfitValue = 0.039205, totalProfit = 367.542483 => action 1725: (3, 6) upgrade
actionProfitValue = 0.039056, totalProfit = 367.581688 => action 1726: (6, 6) upgrade
actionProfitValue = 0.038894, totalProfit = 367.620744 => action 1727: (6, 4) upgrade
actionProfitValue = 0.038854, totalProfit = 367.659639 => action 1728: (6, 5) upgrade
actionProfitValue = 0.038809, totalProfit = 367.698493 => action 1729: (5, 5) upgrade
actionProfitValue = 0.038766, totalProfit = 367.737302 => action 1730: (1, 0) upgrade
actionProfitValue = 0.038618, totalProfit = 367.776068 => action 1731: (5, 1) upgrade
actionProfitValue = 0.038507, totalProfit = 367.814685 => action 1732: (1, 3) upgrade
actionProfitValue = 0.038494, totalProfit = 367.853192 => action 1733: (5, 6) upgrade
actionProfitValue = 0.038470, totalProfit = 367.891687 => action 1734: (3, 5) upgrade
actionProfitValue = 0.038377, totalProfit = 367.930157 => action 1735: (7, 3) upgrade
actionProfitValue = 0.038361, totalProfit = 367.968534 => action 1736: (3, 4) upgrade
actionProfitValue = 0.038257, totalProfit = 368.006895 => action 1737: (1, 2) upgrade
actionProfitValue = 0.038217, totalProfit = 368.045152 => action 1738: (3, 3) upgrade
actionProfitValue = 0.038105, totalProfit = 368.083369 => action 1739: (6, 2) upgrade
actionProfitValue = 0.038075, totalProfit = 368.121474 => action 1740: (7, 4) upgrade
actionProfitValue = 0.038066, totalProfit = 368.159548 => action 1741: (1, 4) upgrade
actionProfitValue = 0.038033, totalProfit = 368.197615 => action 1742: (3, 2) upgrade
actionProfitValue = 0.038021, totalProfit = 368.235648 => action 1743: (1, 5) upgrade
actionProfitValue = 0.038019, totalProfit = 368.273669 => action 1744: (5, 3) upgrade
actionProfitValue = 0.037929, totalProfit = 368.311688 => action 1745: (3, 7) upgrade
actionProfitValue = 0.037903, totalProfit = 368.349617 => action 1746: (1, 1) upgrade
actionProfitValue = 0.037832, totalProfit = 368.387520 => action 1747: (3, 1) upgrade
actionProfitValue = 0.037828, totalProfit = 368.425352 => action 1748: (1, 6) upgrade
actionProfitValue = 0.037722, totalProfit = 368.463179 => action 1749: (6, 3) upgrade
actionProfitValue = 0.037644, totalProfit = 368.500902 => action 1750: (5, 4) upgrade
actionProfitValue = 0.037487, totalProfit = 368.538546 => action 1751: (7, 2) upgrade
actionProfitValue = 0.037483, totalProfit = 368.576032 => action 1752: (3, 6) upgrade
actionProfitValue = 0.037478, totalProfit = 368.613515 => action 1753: (7, 1) upgrade
actionProfitValue = 0.037414, totalProfit = 368.650994 => action 1754: (7, 0) upgrade
actionProfitValue = 0.037386, totalProfit = 368.688408 => action 1755: (5, 2) upgrade
actionProfitValue = 0.037385, totalProfit = 368.725793 => action 1756: (6, 0) upgrade
actionProfitValue = 0.037099, totalProfit = 368.763179 => action 1757: (7, 6) upgrade
actionProfitValue = 0.037073, totalProfit = 368.800277 => action 1758: (5, 0) upgrade
actionProfitValue = 0.037069, totalProfit = 368.837350 => action 1759: (7, 5) upgrade
actionProfitValue = 0.037004, totalProfit = 368.874419 => action 1760: (1, 3) upgrade
actionProfitValue = 0.036858, totalProfit = 368.911423 => action 1761: (6, 6) upgrade
actionProfitValue = 0.036710, totalProfit = 368.948280 => action 1762: (6, 4) upgrade
actionProfitValue = 0.036672, totalProfit = 368.984991 => action 1763: (6, 1) upgrade
actionProfitValue = 0.036640, totalProfit = 369.021663 => action 1764: (6, 5) upgrade
actionProfitValue = 0.036630, totalProfit = 369.058303 => action 1765: (3, 4) upgrade
actionProfitValue = 0.036630, totalProfit = 369.094933 => action 1766: (5, 5) upgrade
actionProfitValue = 0.036589, totalProfit = 369.131563 => action 1767: (3, 3) upgrade
actionProfitValue = 0.036565, totalProfit = 369.168152 => action 1768: (1, 4) upgrade
actionProfitValue = 0.036497, totalProfit = 369.204718 => action 1769: (3, 2) upgrade
actionProfitValue = 0.036485, totalProfit = 369.241214 => action 1770: (1, 5) upgrade
actionProfitValue = 0.036483, totalProfit = 369.277699 => action 1771: (1, 0) upgrade
actionProfitValue = 0.036407, totalProfit = 369.314182 => action 1772: (5, 1) upgrade
actionProfitValue = 0.036345, totalProfit = 369.350590 => action 1773: (5, 3) upgrade
actionProfitValue = 0.036316, totalProfit = 369.386934 => action 1774: (5, 6) upgrade
actionProfitValue = 0.036310, totalProfit = 369.423250 => action 1775: (1, 1) upgrade
actionProfitValue = 0.036303, totalProfit = 369.459561 => action 1776: (3, 1) upgrade
actionProfitValue = 0.036299, totalProfit = 369.495864 => action 1777: (7, 3) upgrade
actionProfitValue = 0.036207, totalProfit = 369.532163 => action 1778: (3, 5) upgrade
actionProfitValue = 0.036180, totalProfit = 369.568370 => action 1779: (1, 2) upgrade
actionProfitValue = 0.036029, totalProfit = 369.604551 => action 1780: (3, 6) upgrade
actionProfitValue = 0.035964, totalProfit = 369.640580 => action 1781: (6, 2) upgrade
actionProfitValue = 0.035937, totalProfit = 369.676544 => action 1782: (7, 4) upgrade
actionProfitValue = 0.035929, totalProfit = 369.712480 => action 1783: (3, 7) upgrade
actionProfitValue = 0.035733, totalProfit = 369.748409 => action 1784: (1, 6) upgrade
actionProfitValue = 0.035563, totalProfit = 369.784143 => action 1785: (6, 3) upgrade
actionProfitValue = 0.035530, totalProfit = 369.819706 => action 1786: (5, 4) upgrade
actionProfitValue = 0.035382, totalProfit = 369.855236 => action 1787: (7, 2) upgrade
actionProfitValue = 0.035378, totalProfit = 369.890618 => action 1788: (1, 3) upgrade
actionProfitValue = 0.035290, totalProfit = 369.925996 => action 1789: (7, 0) upgrade
actionProfitValue = 0.035287, totalProfit = 369.961287 => action 1790: (5, 2) upgrade
actionProfitValue = 0.035286, totalProfit = 369.996573 => action 1791: (3, 3) upgrade
actionProfitValue = 0.035088, totalProfit = 370.031859 => action 1792: (3, 4) upgrade
actionProfitValue = 0.035073, totalProfit = 370.066947 => action 1793: (1, 4) upgrade
actionProfitValue = 0.035022, totalProfit = 370.102020 => action 1794: (6, 0) upgrade
actionProfitValue = 0.035016, totalProfit = 370.137042 => action 1795: (3, 2) upgrade
actionProfitValue = 0.035011, totalProfit = 370.172058 => action 1796: (1, 5) upgrade
actionProfitValue = 0.035009, totalProfit = 370.207068 => action 1797: (7, 6) upgrade
actionProfitValue = 0.034991, totalProfit = 370.242077 => action 1798: (5, 0) upgrade
actionProfitValue = 0.034987, totalProfit = 370.277068 => action 1799: (7, 1) upgrade
actionProfitValue = 0.034955, totalProfit = 370.312056 => action 1800: (7, 5) upgrade
actionProfitValue = 0.034926, totalProfit = 370.347011 => action 1801: (1, 1) upgrade
actionProfitValue = 0.034837, totalProfit = 370.381937 => action 1802: (3, 1) upgrade
actionProfitValue = 0.034833, totalProfit = 370.416773 => action 1803: (5, 3) upgrade
actionProfitValue = 0.034772, totalProfit = 370.451606 => action 1804: (6, 6) upgrade
actionProfitValue = 0.034649, totalProfit = 370.486378 => action 1805: (6, 4) upgrade
actionProfitValue = 0.034613, totalProfit = 370.521027 => action 1806: (6, 5) upgrade
actionProfitValue = 0.034573, totalProfit = 370.555640 => action 1807: (5, 5) upgrade
actionProfitValue = 0.034534, totalProfit = 370.590213 => action 1808: (3, 6) upgrade
actionProfitValue = 0.034511, totalProfit = 370.624748 => action 1809: (1, 0) upgrade
actionProfitValue = 0.034324, totalProfit = 370.659259 => action 1810: (5, 1) upgrade
actionProfitValue = 0.034304, totalProfit = 370.693582 => action 1811: (5, 6) upgrade
actionProfitValue = 0.034271, totalProfit = 370.727886 => action 1812: (6, 1) upgrade
actionProfitValue = 0.034231, totalProfit = 370.762158 => action 1813: (7, 3) upgrade
actionProfitValue = 0.034174, totalProfit = 370.796389 => action 1814: (3, 5) upgrade
actionProfitValue = 0.034110, totalProfit = 370.830563 => action 1815: (1, 2) upgrade
actionProfitValue = 0.033967, totalProfit = 370.864672 => action 1816: (6, 2) upgrade
actionProfitValue = 0.033919, totalProfit = 370.898639 => action 1817: (7, 4) upgrade
actionProfitValue = 0.033911, totalProfit = 370.932558 => action 1818: (1, 3) upgrade
actionProfitValue = 0.033790, totalProfit = 370.966469 => action 1819: (3, 7) upgrade
actionProfitValue = 0.033688, totalProfit = 371.000259 => action 1820: (3, 3) upgrade
actionProfitValue = 0.033670, totalProfit = 371.033947 => action 1821: (1, 4) upgrade
actionProfitValue = 0.033607, totalProfit = 371.067618 => action 1822: (3, 2) upgrade
actionProfitValue = 0.033596, totalProfit = 371.101224 => action 1823: (1, 5) upgrade
actionProfitValue = 0.033595, totalProfit = 371.134821 => action 1824: (3, 4) upgrade
actionProfitValue = 0.033581, totalProfit = 371.168415 => action 1825: (6, 3) upgrade
actionProfitValue = 0.033535, totalProfit = 371.201996 => action 1826: (1, 6) upgrade
actionProfitValue = 0.033527, totalProfit = 371.235532 => action 1827: (1, 1) upgrade
actionProfitValue = 0.033429, totalProfit = 371.269059 => action 1828: (3, 1) upgrade
actionProfitValue = 0.033425, totalProfit = 371.302488 => action 1829: (5, 4) upgrade
actionProfitValue = 0.033395, totalProfit = 371.335913 => action 1830: (7, 2) upgrade
actionProfitValue = 0.033392, totalProfit = 371.369309 => action 1831: (7, 0) upgrade
actionProfitValue = 0.033305, totalProfit = 371.402700 => action 1832: (5, 2) upgrade
actionProfitValue = 0.033305, totalProfit = 371.436006 => action 1833: (5, 3) upgrade
actionProfitValue = 0.033293, totalProfit = 371.469310 => action 1834: (3, 6) upgrade
actionProfitValue = 0.033117, totalProfit = 371.502603 => action 1835: (6, 0) upgrade
actionProfitValue = 0.033049, totalProfit = 371.535720 => action 1836: (7, 6) upgrade
actionProfitValue = 0.033026, totalProfit = 371.568769 => action 1837: (5, 0) upgrade
actionProfitValue = 0.033023, totalProfit = 371.601796 => action 1838: (7, 5) upgrade
actionProfitValue = 0.032965, totalProfit = 371.634819 => action 1839: (6, 6) upgrade
actionProfitValue = 0.032704, totalProfit = 371.667784 => action 1840: (6, 4) upgrade
actionProfitValue = 0.032670, totalProfit = 371.700487 => action 1841: (7, 1) upgrade
actionProfitValue = 0.032657, totalProfit = 371.733157 => action 1842: (6, 5) upgrade
actionProfitValue = 0.032632, totalProfit = 371.765814 => action 1843: (5, 5) upgrade
actionProfitValue = 0.032595, totalProfit = 371.798446 => action 1844: (5, 1) upgrade
actionProfitValue = 0.032378, totalProfit = 371.831041 => action 1845: (1, 0) upgrade
actionProfitValue = 0.032359, totalProfit = 371.863419 => action 1846: (1, 3) upgrade
actionProfitValue = 0.032353, totalProfit = 371.895778 => action 1847: (5, 6) upgrade
actionProfitValue = 0.032347, totalProfit = 371.928131 => action 1848: (3, 3) upgrade
actionProfitValue = 0.032310, totalProfit = 371.960478 => action 1849: (7, 3) upgrade
actionProfitValue = 0.032255, totalProfit = 371.992788 => action 1850: (1, 4) upgrade
actionProfitValue = 0.032249, totalProfit = 372.025043 => action 1851: (3, 2) upgrade
actionProfitValue = 0.032239, totalProfit = 372.057292 => action 1852: (1, 5) upgrade
actionProfitValue = 0.032237, totalProfit = 372.089531 => action 1853: (3, 5) upgrade
actionProfitValue = 0.032157, totalProfit = 372.121768 => action 1854: (3, 4) upgrade
actionProfitValue = 0.032153, totalProfit = 372.153925 => action 1855: (1, 1) upgrade
actionProfitValue = 0.032078, totalProfit = 372.186078 => action 1856: (3, 1) upgrade
actionProfitValue = 0.032075, totalProfit = 372.218157 => action 1857: (1, 2) upgrade
actionProfitValue = 0.032023, totalProfit = 372.250232 => action 1858: (6, 2) upgrade
actionProfitValue = 0.032014, totalProfit = 372.282254 => action 1859: (7, 4) upgrade
actionProfitValue = 0.032007, totalProfit = 372.314269 => action 1860: (6, 1) upgrade
actionProfitValue = 0.031981, totalProfit = 372.346276 => action 1861: (5, 3) upgrade
actionProfitValue = 0.031877, totalProfit = 372.378257 => action 1862: (3, 6) upgrade
actionProfitValue = 0.031778, totalProfit = 372.410135 => action 1863: (3, 7) upgrade
actionProfitValue = 0.031760, totalProfit = 372.441913 => action 1864: (6, 3) upgrade
actionProfitValue = 0.031652, totalProfit = 372.473673 => action 1865: (1, 6) upgrade
actionProfitValue = 0.031608, totalProfit = 372.505325 => action 1866: (5, 4) upgrade
actionProfitValue = 0.031520, totalProfit = 372.536933 => action 1867: (7, 2) upgrade
actionProfitValue = 0.031517, totalProfit = 372.568453 => action 1868: (7, 0) upgrade
actionProfitValue = 0.031435, totalProfit = 372.599970 => action 1869: (5, 2) upgrade
actionProfitValue = 0.031435, totalProfit = 372.631405 => action 1870: (6, 0) upgrade
actionProfitValue = 0.031194, totalProfit = 372.662840 => action 1871: (7, 6) upgrade
actionProfitValue = 0.031172, totalProfit = 372.694034 => action 1872: (5, 0) upgrade
actionProfitValue = 0.031169, totalProfit = 372.725206 => action 1873: (7, 5) upgrade
actionProfitValue = 0.031114, totalProfit = 372.756374 => action 1874: (3, 3) upgrade
actionProfitValue = 0.031005, totalProfit = 372.787488 => action 1875: (1, 3) upgrade
actionProfitValue = 0.030977, totalProfit = 372.818493 => action 1876: (1, 4) upgrade
actionProfitValue = 0.030946, totalProfit = 372.849470 => action 1877: (3, 2) upgrade
actionProfitValue = 0.030936, totalProfit = 372.880416 => action 1878: (1, 5) upgrade
actionProfitValue = 0.030935, totalProfit = 372.911352 => action 1879: (6, 6) upgrade
actionProfitValue = 0.030867, totalProfit = 372.942287 => action 1880: (6, 4) upgrade
actionProfitValue = 0.030835, totalProfit = 372.973154 => action 1881: (6, 5) upgrade
actionProfitValue = 0.030800, totalProfit = 373.003990 => action 1882: (3, 4) upgrade
actionProfitValue = 0.030786, totalProfit = 373.034789 => action 1883: (1, 1) upgrade
actionProfitValue = 0.030782, totalProfit = 373.065576 => action 1884: (3, 1) upgrade
actionProfitValue = 0.030779, totalProfit = 373.096358 => action 1885: (5, 5) upgrade
actionProfitValue = 0.030765, totalProfit = 373.127137 => action 1886: (5, 1) upgrade
actionProfitValue = 0.030560, totalProfit = 373.157902 => action 1887: (5, 6) upgrade
actionProfitValue = 0.030531, totalProfit = 373.188462 => action 1888: (5, 3) upgrade
actionProfitValue = 0.030522, totalProfit = 373.218992 => action 1889: (7, 1) upgrade
actionProfitValue = 0.030510, totalProfit = 373.249514 => action 1890: (1, 0) upgrade
actionProfitValue = 0.030507, totalProfit = 373.280025 => action 1891: (3, 6) upgrade
actionProfitValue = 0.030495, totalProfit = 373.310531 => action 1892: (7, 3) upgrade
actionProfitValue = 0.030444, totalProfit = 373.341026 => action 1893: (3, 5) upgrade
actionProfitValue = 0.030316, totalProfit = 373.371470 => action 1894: (6, 2) upgrade
actionProfitValue = 0.030217, totalProfit = 373.401786 => action 1895: (7, 4) upgrade
actionProfitValue = 0.030210, totalProfit = 373.432003 => action 1896: (1, 2) upgrade
actionProfitValue = 0.030190, totalProfit = 373.462213 => action 1897: (3, 7) upgrade
actionProfitValue = 0.029942, totalProfit = 373.492403 => action 1898: (6, 1) upgrade
actionProfitValue = 0.029879, totalProfit = 373.522345 => action 1899: (6, 3) upgrade
actionProfitValue = 0.029875, totalProfit = 373.552223 => action 1900: (1, 6) upgrade
actionProfitValue = 0.029799, totalProfit = 373.582098 => action 1901: (3, 3) upgrade
actionProfitValue = 0.029752, totalProfit = 373.611898 => action 1902: (5, 4) upgrade
actionProfitValue = 0.029750, totalProfit = 373.641649 => action 1903: (7, 2) upgrade
actionProfitValue = 0.029747, totalProfit = 373.671400 => action 1904: (1, 4) upgrade
actionProfitValue = 0.029696, totalProfit = 373.701147 => action 1905: (3, 2) upgrade
actionProfitValue = 0.029686, totalProfit = 373.730842 => action 1906: (1, 5) upgrade
actionProfitValue = 0.029685, totalProfit = 373.760529 => action 1907: (7, 0) upgrade
actionProfitValue = 0.029670, totalProfit = 373.790213 => action 1908: (5, 2) upgrade
actionProfitValue = 0.029669, totalProfit = 373.819884 => action 1909: (1, 3) upgrade
actionProfitValue = 0.029660, totalProfit = 373.849553 => action 1910: (1, 1) upgrade
actionProfitValue = 0.029538, totalProfit = 373.879213 => action 1911: (3, 1) upgrade
actionProfitValue = 0.029535, totalProfit = 373.908752 => action 1912: (3, 4) upgrade
actionProfitValue = 0.029477, totalProfit = 373.938287 => action 1913: (6, 0) upgrade
actionProfitValue = 0.029442, totalProfit = 373.967764 => action 1914: (7, 6) upgrade
actionProfitValue = 0.029422, totalProfit = 373.997206 => action 1915: (5, 0) upgrade
actionProfitValue = 0.029419, totalProfit = 374.026628 => action 1916: (7, 5) upgrade
actionProfitValue = 0.029367, totalProfit = 374.056047 => action 1917: (3, 6) upgrade
actionProfitValue = 0.029262, totalProfit = 374.085413 => action 1918: (5, 3) upgrade
actionProfitValue = 0.029224, totalProfit = 374.114676 => action 1919: (6, 6) upgrade
actionProfitValue = 0.029134, totalProfit = 374.143900 => action 1920: (6, 4) upgrade
actionProfitValue = 0.029104, totalProfit = 374.173034 => action 1921: (6, 5) upgrade
actionProfitValue = 0.029070, totalProfit = 374.202138 => action 1922: (5, 5) upgrade
actionProfitValue = 0.029038, totalProfit = 374.231208 => action 1923: (5, 1) upgrade
actionProfitValue = 0.028844, totalProfit = 374.260246 => action 1924: (5, 6) upgrade
actionProfitValue = 0.028817, totalProfit = 374.289090 => action 1925: (1, 0) upgrade
actionProfitValue = 0.028760, totalProfit = 374.317906 => action 1926: (7, 3) upgrade
actionProfitValue = 0.028734, totalProfit = 374.346667 => action 1927: (3, 5) upgrade
actionProfitValue = 0.028581, totalProfit = 374.375401 => action 1928: (3, 3) upgrade
actionProfitValue = 0.028550, totalProfit = 374.403982 => action 1929: (6, 2) upgrade
actionProfitValue = 0.028520, totalProfit = 374.432532 => action 1930: (7, 4) upgrade
actionProfitValue = 0.028514, totalProfit = 374.461052 => action 1931: (7, 1) upgrade
actionProfitValue = 0.028505, totalProfit = 374.489566 => action 1932: (1, 4) upgrade
actionProfitValue = 0.028496, totalProfit = 374.518071 => action 1933: (3, 2) upgrade
actionProfitValue = 0.028487, totalProfit = 374.546567 => action 1934: (1, 5) upgrade
actionProfitValue = 0.028485, totalProfit = 374.575053 => action 1935: (1, 2) upgrade
actionProfitValue = 0.028462, totalProfit = 374.603539 => action 1936: (1, 3) upgrade
actionProfitValue = 0.028399, totalProfit = 374.632000 => action 1937: (1, 1) upgrade
actionProfitValue = 0.028345, totalProfit = 374.660399 => action 1938: (3, 1) upgrade
actionProfitValue = 0.028342, totalProfit = 374.688744 => action 1939: (3, 7) upgrade
actionProfitValue = 0.028228, totalProfit = 374.717086 => action 1940: (3, 4) upgrade
actionProfitValue = 0.028224, totalProfit = 374.745314 => action 1941: (6, 3) upgrade
actionProfitValue = 0.028197, totalProfit = 374.773538 => action 1942: (1, 6) upgrade
actionProfitValue = 0.028093, totalProfit = 374.801736 => action 1943: (3, 6) upgrade
actionProfitValue = 0.028080, totalProfit = 374.829829 => action 1944: (5, 4) upgrade
actionProfitValue = 0.028080, totalProfit = 374.857909 => action 1945: (7, 2) upgrade
actionProfitValue = 0.028077, totalProfit = 374.885989 => action 1946: (7, 0) upgrade
actionProfitValue = 0.028004, totalProfit = 374.914066 => action 1947: (5, 2) upgrade
actionProfitValue = 0.028004, totalProfit = 374.942070 => action 1948: (5, 3) upgrade
actionProfitValue = 0.027982, totalProfit = 374.970073 => action 1949: (6, 1) upgrade
actionProfitValue = 0.027915, totalProfit = 374.998055 => action 1950: (6, 0) upgrade
actionProfitValue = 0.027789, totalProfit = 375.025970 => action 1951: (7, 6) upgrade
actionProfitValue = 0.027770, totalProfit = 375.053759 => action 1952: (5, 0) upgrade
actionProfitValue = 0.027767, totalProfit = 375.081528 => action 1953: (7, 5) upgrade
actionProfitValue = 0.027718, totalProfit = 375.109295 => action 1954: (6, 6) upgrade
actionProfitValue = 0.027498, totalProfit = 375.137013 => action 1955: (6, 4) upgrade
actionProfitValue = 0.027470, totalProfit = 375.164511 => action 1956: (6, 5) upgrade
actionProfitValue = 0.027438, totalProfit = 375.191981 => action 1957: (5, 5) upgrade
actionProfitValue = 0.027407, totalProfit = 375.219419 => action 1958: (3, 3) upgrade
actionProfitValue = 0.027396, totalProfit = 375.246826 => action 1959: (1, 4) upgrade
actionProfitValue = 0.027345, totalProfit = 375.274222 => action 1960: (3, 2) upgrade
actionProfitValue = 0.027336, totalProfit = 375.301567 => action 1961: (1, 5) upgrade
actionProfitValue = 0.027334, totalProfit = 375.328903 => action 1962: (5, 1) upgrade
actionProfitValue = 0.027224, totalProfit = 375.356237 => action 1963: (1, 1) upgrade
actionProfitValue = 0.027200, totalProfit = 375.383461 => action 1964: (5, 6) upgrade
actionProfitValue = 0.027199, totalProfit = 375.410661 => action 1965: (3, 1) upgrade
actionProfitValue = 0.027197, totalProfit = 375.437860 => action 1966: (1, 3) upgrade
actionProfitValue = 0.027191, totalProfit = 375.465056 => action 1967: (7, 3) upgrade
actionProfitValue = 0.027121, totalProfit = 375.492248 => action 1968: (1, 0) upgrade
actionProfitValue = 0.027114, totalProfit = 375.519369 => action 1969: (3, 4) upgrade
actionProfitValue = 0.027024, totalProfit = 375.546483 => action 1970: (3, 6) upgrade
actionProfitValue = 0.026946, totalProfit = 375.573507 => action 1971: (3, 5) upgrade
actionProfitValue = 0.026945, totalProfit = 375.600452 => action 1972: (6, 2) upgrade
